Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message
27.728645,1111.4855,,,,0.168282479,0,0.059893145,0,0,0,0,
27.79461,1104.236,,,,0.168282479,0,0.059606395,0,0,0,0,
27.906215,1094.4205,,,,0.141280217,0,0.059828417,0,0,0,0,
28.052945,1077.389,,,,0.100114447,0,0.062368457,0,0,0,0,
28.132695,1070.3855,,,,0.086087217,0,0.062368455,0,0,0,0,
28.23426,1060.1695,,,,0.086087217,0,0.060717193,0,0,0,0,
28.392415,1044.99,,,,0.05858576,0,0.060413421,0,0,0,0,
28.473775,1037.1795,,,,0.051418784,0,0.059177798,0,0,0,0,
28.57232,1025.3945,,,,0.067895228,0,0.06032157,0,0,0,0,
28.71851,1013.2955,,,,0.067895228,0,0.062615906,0,0,0,0,
28.897795,1000,,,,0.07469141,0,0.061487605,0,0,0,0,
29.003145,1000,,,,0.07469141,0,0.062464048,0,0,0,0,
29.06832,1000,,,,0.064026239,0,0.061249326,0,0,0,0,
29.16619,1000,,,,0.064026239,0,0.063598722,0,0,0,0,
29.22228,1000,,,,0.046068894,0,0.063899256,0,0,0,0,
29.30852,1000,,,,0.046068894,0,0.063564558,0,0,0,0,
29.38171,1000,,,,0.028891909,0,0.063610877,0,0,0,0,
29.490585,1000,,,,0.020065864,0,0.064680564,0,0,0,0,
29.564945,1000,,,,0.020065864,0,0.065971426,0,0,0,0,
29.620965,1000,,,,0.020065864,0,0.067503574,0,0,0,0,
29.71519,1000,,,,0.016075524,0,0.064766319,0,0,0,0,
29.80868,1000,,,,0.017338264,0,0.065275136,0,0,0,0,
29.9384,1000,,,,0.018038969,0,0.061625729,0,0,0,0,
29.97471,1000,,,,0.018038969,0,0.063070666,0,0,0,0,
30.069305,1000,,,,0.021298406,0,0.062256391,0,0,0,0,
30.191475,1000,,,,0.021298406,0,0.0625818,0,0,0,0,
30.26343,1000,,,,0.023074445,0,0.062795885,0,0,0,0,
30.368955,1000,,,,0.023074445,0,0.068307973,0,0,0,0,
30.473635,1000,,,,0.02357843,0,0.064774543,0,0,0,0,
30.648345,1000,,,,0.020335149,0,0.061012768,0,0,0,0,
30.74039,1000,,,,0.019755504,0,0.064815382,0,0,0,0,
30.833565,1000,,,,0.020073647,0,0.063815232,0,0,0,0,
30.90385,1000,,,,0.020073647,0,0.061710491,0,0,0,0,
30.96766,1000,,,,0.020073647,0,0.061312127,0,0,0,0,
31.07146,1000,,,,0.020537375,0,0.064744404,0,0,0,0,
31.18016,1000,,,,0.020684109,0,0.06094408,0,0,0,0,
31.23719,1000,,,,0.020684109,0,0.060693106,0,0,0,0,
31.33798,1000,,,,0.020401538,0,0.059724136,0,0,0,0,
31.444545,1000,,,,0.020061184,0,0.061846493,0,0,0,0,
31.552345,1000,,,,0.020061184,0,0.061511869,0,0,0,0,
31.586285,1000,,,,0.02015456,0,0.0625453,0,0,0,0,
31.705635,1000,,,,0.02015456,0,0.058603388,0,0,0,0,
31.76533,1000,,,,0.019942258,0,0.058305812,0,0,0,0,
31.868425,1000,,,,0.019942258,0,0.063088593,0,0,0,0,
31.970245,1000,,,,0.020038944,0,0.063369881,0,0,0,0,
32.08843,1000,,,,0.020067364,0,0.059919554,0,0,0,0,
32.118175,1000,,,,0.020067364,0,0.060678736,0,0,0,0,
32.188755,1000,,,,0.020077992,0,0.064312724,0,0,0,0,
32.326205,1000,,,,0.020077992,0,0.065007358,0,0,0,0,
32.398495,1000,,,,0.019992025,0,0.066030572,0,0,0,0,
32.467755,1000,,,,0.019992025,0,0.063802189,0,0,0,0,
32.59582,1000,,,,0.019961059,0,0.060972178,0,0,0,0,
32.745105,1000,,,,0.020267716,0,0.063563451,0,0,0,0,
32.835635,1000,,,,0.020383826,0,0.062476208,0,0,0,0,
32.9005,1000,,,,0.020383826,0,0.063475623,0,0,0,0,
32.966075,1000,,,,0.020166696,0,0.062047897,0,0,0,0,
33.06743,1000,,,,0.020166696,0,0.060469575,0,0,0,0,
33.122765,1000,,,,0.02006016,0,0.063550762,0,0,0,0,
33.21756,1000,,,,0.02006016,0,0.065456517,0,0,0,0,
33.31246,1000,,,,0.020078472,0,0.062610312,0,0,0,0,
33.413965,1000,,,,0.020086281,0,0.060027354,0,0,0,0,
33.473305,1000,,,,0.020086281,0,0.059368322,0,0,0,0,
33.57625,1000,,,,0.02065863,0,0.061435729,0,0,0,0,
33.651175,1000,,,,0.02065863,0,0.06276405,0,0,0,0,
33.76866,1000,,,,0.020680378,0,0.063997109,0,0,0,0,
